OF_TURN,HYDRANT,MAPPAGE,SEQ__,ZIPCODE,OF_TURNS,STATION,DIRECTION,COMPLETED,FLOW,NUM,LOCATION,STATIC_PRE,CLASS,CONDITION,VALVE_MAKE,DATE_INSPE,HYDRANT_ID,LONGITUDE,VALVE_SIZE,TYPE0,DATE_INSTA,SIZE,CITY,NAME,DISTRICT,VALVE_TYPE,MAKE,ATLAS_PAGE,ADDRESS,LATITUDE,TYPE,RESIDUAL_P
L,,1274,0020,74112,7,15,S,1,1070,209,INDIANAPOLIS & 2 ST SEC,0,NA,,C469,1999-05-15,00027-0020,-95.938964,20,3-WAY,,45,TULSA,INDIANAPOLIS,2,GATE,MUELL,00027,209 S INDIANAPOLIS  AV E,36.157944,AV,0
L,,1283,0044,74137,26,32,,1,0,0,INDIANAPOLIS 300'S 96 PL ES,0,NA,,,1994-08-28,01276-0044,-95.939152,80,3-WAY,,52,TULSA,,5,GATE,MUELL,01276,,36.02301,,0
L,,1274,0035,74112,21,15,E,1,1070,3326,INDIANAPOLIS & 3 ST SEC,0,NA,,C525,1999-06-08,00027-0035,-95.939164,60,3-WAY,,50,TULSA,3,2,GATE,DARLI,00027,3326 E 3rd ST S,36.156637,ST,0
L,,1280,0003,74136,26,29,,1,5318,0,INDIANAPOLIS & 67 ST NEC,0,NA,,C521,1999-01-06,00562-0003,-95.939199,60,3-WAY,,45,TULSA,,3,GATE,DARLI,00562,,36.066341,,0
L,,1281,0005,74136,20,29,S,1,1060,7788,INDIANAPOLIS 700'N 81 ST ES,0,NA,,DELET,1999-05-14,00768-0005,-95.938901,60,3-WAY,,40,TULSA,INDIANAPOLIS,3,GATE,DARLI,00768,7788 S INDIANAPOLIS  AV E,36.048479,AV,0
L,,1281,0004,74136,42,29,,1,1060,0,INDIANAPOLIS 700'S 77 ST ES,0,NA,,C506,1999-05-14,00768-0004,-95.937846,160,3-WAY,,40,TULSA,,3,BALL,DARLI,00768,,36.050683,,0
L,,1281,0011,74136,19,29,E,1,1050,3406,INDIANAPOLIS & 75ST SEC,9,NA,,,1999-04-16,00661-0011,-95.93897,60,3-WAY,,42,TULSA,75,3,GATE,MUELL,00661,3406 E 75th ST S,36.055679,ST,500
L,,1274,0023,74112,0,7,,1,11100,0,INDIANAPOLIS & 8 ST SEC,0,NA,,C480,1999-06-15,00028-0023,-95.939081,160,3-WAY,,40,TULSA,,1,GATE,COREY,00028,,36.149892,,0
L,,1275,0015,74112,39,7,S,1,11200,1707,INDIANAPOLIS AVE & 17 ST SEC,0,NA,,,1999-06-11,00030-0015,-95.938948,120,3-WAY,,40,TULSA,INDIANAPOLIS,1,GATE,DARLI,00030,1707 S INDIANAPOLIS  AV E,36.136599,AV,0
L,,1075,0025,74119,26,4,,1,11000,0,INDIAN & RIVERSDE DR NEC,11,NA,,,2003-08-01,00005-0025,-95.99952,80,3-WAY,,42,TULSA,,1,GATE,MUELL,00005,,36.142234,,0
L,,1273,0015,74115,7,15,N,1,1100,747,INDPENDENCE & NEW HAVEN SEC,0,NA,,C538,2003-08-10,00026-0015,-95.932886,20,3-WAY,,52,TULSA,NEW,2,GATE,MUELL,00026,747 N NEW HAVEN  AV E,36.166031,AV,0
L,,1120,0031,74106,18,24,,1,0,0,IROQUOIS 100'N 46 ST N ES,0,NA,,,1996-05-16,00352-0031,-95.983242,60,3-WAY,,52,TULSA,,4,GATE,DARLI,00352,,36.220106,,0
L,,1121,0031,74106,0,24,N,1,0,2635,IROQUOIS 200'N APACHE ES,0,NA,1,DELET,1996-05-31,00163-0031,-95.982969,0,3-WAY,,45,TULSA,IROQUOIS,4,GATE,MUELL,00163,2635 N IROQUOIS,36.192128,,0
L,,1121,0025,74106,42,24,E,1,11200,754,IROQUOIS & 32 ST N SEC,0,NA,,,1999-04-06,00218-0025,-95.982689,120,3-WAY,,42,TULSA,32,4,GATE,WATER,00218,750 E 32th PL N,36.201721,N,0
L,,1121,0030,74106,0,24,N,1,0,2635,IROQUOIS 600'N APACHE ES,0,NA,1,DELET,1996-05-31,00163-0030,-95.982503,0,3-WAY,,45,TULSA,IROQUOIS,4,GATE,MUELL,00163,2635 N IROQUOIS,36.192917,,0
L,,1331,0063,74136,36,28,E,1,1060,5808,IRVINGTON 175'N 72 ST ES,0,NA,,C509,1999-04-11,00660-0063,-95.911621,120,3-WAY,,52,TULSA,71,5,GATE,MUELL,00660,5808 E 71th ST S,36.059101,ST,0
L,,1325,0022,74112,32,22,E,1,1070,5810,IRVINGTON & 18 ST SEC,0,NA,,C439,1999-05-06,00055-0022,-95.911676,80,3-WAY,,42,TULSA,18,2,GATE,MUELL,00055,5804 E 18th ST S,36.136221,ST,0
L,,1331,0026,74136,25,28,S,1,1070,8045,IRVINGTON 200'N 81 ST ES,0,NA,,C509,1999-05-06,00767-0026,-95.910155,80,3-WAY,,52,TULSA,IRVINGTON,5,GATE,MUELL,00767,8045 S IRVINGTON  AV E,36.046603,EA,0
L,,1325,0033,74112,27,22,E,1,1070,5722,IRVINGTON & 20 ST SEC,0,NA,,C439,1999-05-06,00055-0033,-95.911988,80,3-WAY,,52,TULSA,20,2,GATE,WATER,00055,5722 E 20th ST S,36.13417,ST,0
L,,1326,0077,74114,34,22,S,1,41602,2425,IRVINGTON & 24 PL PER ENG,0,NA,,C499,2003-07-31,00056-0077,-95.909926,100,3-WAY,,52,TULSA,IRVINGTON,2,GATE,DARLI,00056,2425 S IRVINGTON  AV E,36.128218,AV,0
L,,1326,0078,74114,34,22,S,1,0,2321,IRVINGTON & 24 ST PER ENG,0,NA,,C495,2003-07-31,00056-0078,-95.909971,60,3-WAY,,52,TULSA,IRVINGTON,2,GATE,DARLI,00056,2321 S IRVINGTON  AV E,36.129026,AV,0
L,,1333,0034,74137,27,32,S,1,11000,9927,IRVINGTON 250'S OF 99ST ES,0,NA,,C451,1999-06-28,01275-0034,-95.912384,80,3-WAY,,45,TULSA,IRVINGTON,5,GATE,MUELL,01275,9927 S IRVINGTON  AV E,36.019061,EA,0
L,,1326,0076,74114,34,22,S,1,0,2503,IRVINGTON & 25 ST PER ENG,0,NA,,C499,2003-07-31,00056-0076,-95.909926,100,3-WAY,,52,TULSA,IRVINGTON,2,GATE,AMERICAN,00056,2503 S IRVINGTON  AV E,36.127374,AV,0
L,,1326,0030,74114,21,21,E,1,1100,5772,IRVINGTON & 27 PL SWC,0,NA,,C451,2003-07-31,00057-0030,-95.910471,60,3-WAY,,52,TULSA,27,2,GATE,MUELL,00057,5772 E 27th PL S,36.122861,PL,0
L,,1326,0042,74114,0,21,E,1,1100,5776,IRVINGTON & 29 ST SWC,0,NA,,DELET,2003-08-12,00057-0042,-95.910334,0,3-WAY,,42,TULSA,29,2,GATE,MUELL,00057,5770 E 29th ST S,36.121247,ST,0
L,,1331,0017,74136,19,28,S,1,1070,7811,IRVINGTON 300'N 78 PL ES,0,NA,,C452,1999-05-06,00767-0017,-95.911607,60,3-WAY,,52,TULSA,IRVINGTON,5,GATE,MUELL,00767,7811 S IRVINGTON  AV E,36.050967,EA,0
L,,1323,0037,74115,15,17,,1,1070,0,IRVINGTON 300'N LATIMER ES,0,NA,,C495,2003-08-03,00050-0037,-95.912773,40,3-WAY,,40,TULSA,,2,GATE,DARLI,00050,,36.170793,,0
L,,1326,0049,74114,14,21,S,1,1100,2923,IRVINGTON & 30 ST NEC,0,NA,,C439,2003-07-31,00057-0049,-95.909846,40,3-WAY,,52,TULSA,IRVINGTON,2,GATE,MUELL,00057,2923 S IRVINGTON  AV E,36.120642,AV,0
L,,1327,0034,74135,8,21,E,1,11100,5806,IRVINGTON & 35 ST SEC,0,NA,,C499,1999-06-02,00092-0034,-95.912557,20,3-WAY,,42,TULSA,35,2,GATE,MUELL,00092,5806 E 35th ST S,36.113857,ST,0
L,,1328,0077,74135,20,23,S,1,41702,4771,IRVINGTON 400'S 47 PL ES,0,NA,,,2003-09-10,00245-0077,-95.91135,60,3-WAY,1985-05-03,52,TULSA,IRVINGTON,3,GATE,WATER,00245,4771 S IRVINGTON  AV E,36.093073,AV,0
L,,1331,0016,74136,26,28,S,1,1070,7707,IRVINGTON 400'S 76 PL ES,0,NA,,C509,1999-05-06,00767-0016,-95.911234,80,3-WAY,,52,TULSA,IRVINGTON,5,GATE,MUELL,00767,7707 S IRVINGTON  AV E,36.052592,EA,0
L,,1331,0025,74136,26,28,S,1,1070,8015,IRVINGTON 400'S 79 ST ES,0,NA,,C509,1999-05-06,00767-0025,-95.910192,80,3-WAY,,52,TULSA,IRVINGTON,5,GATE,MUELL,00767,8015 S IRVINGTON  AV E,36.047867,EA,0
L,,1322,0026,74115,21,17,N,1,41702,1541,IRVINGTON 500'N PINE ES,0,NA,,C452,2003-08-13,00081-0026,-95.912596,60,3-WAY,,52,TULSA,IRVINGTON,2,GATE,KENNE,00081,1541 N IRVINGTON  AV E,36.178554,EA,0
L,,1329,0015,74135,21,23,S,1,0,5363,IRVINGTON 500'S 53ST ES,0,NA,,C440,1999-05-05,00312-0015,-95.911646,60,3-WAY,,42,TULSA,IRVINGTON,3,GATE,MUELL,00312,5363 S IRVINGTON  AV E,36.085094,AV,0
L,,1329,0013,74135,21,23,S,1,0,5201,IRVINGTON & 52ST NEC,0,NA,,DELET,1999-05-05,00312-0013,-95.911328,60,3-WAY,,52,TULSA,IRVINGTON,3,GATE,MUELL,00312,5201 S IRVINGTON  AV E,36.088624,AV,0
,,1329,0015,74135,0,23,,1,41702,0,IRVINGTON 600'S 58 PL ES,0,NA,,DELET,1999-04-07,00387-0015,-95.911362,0,3-WAY,,52,TULSA,,3,,MUELL,00387,,36.078216,,0
