OF_TURN,HYDRANT,MAPPAGE,SEQ__,ZIPCODE,OF_TURNS,STATION,DIRECTION,COMPLETED,FLOW,NUM,LOCATION,STATIC_PRE,CLASS,CONDITION,VALVE_MAKE,DATE_INSPE,HYDRANT_ID,LONGITUDE,VALVE_SIZE,TYPE0,DATE_INSTA,SIZE,CITY,NAME,DISTRICT,VALVE_TYPE,MAKE,ATLAS_PAGE,ADDRESS,LATITUDE,TYPE,RESIDUAL_P
L,,1430,0014,74133,30,28,S,1,1060,6919,1000'E MEMORIAL 400'S 68 ST ES,0,NA,,,1999-06-16,00559-0014,-95.882277,80,3-WAY,,45,TULSA,MEMORIAL,5,GATE,MUELL,00559,6919 S MEMORIAL  DR E,36.063804,DR,0
L,,1277,0057,74135,0,21,E,1,1100,4134,1000'E/PITTSBURG BET/31 & 33ST,0,NA,,C487,1999-05-27,00093-0057,-95.927844,60,3-WAY,,52,TULSA,31,2,GATE,CLOW,00093,4134 E 31th ST S,36.116786,ST,0
L,,1332,0024,74137,27,32,S,1,41902,8821,1000'E YALE 1400'N 91 ST NS,0,NA,,C439,2003-08-11,01005-0024,-95.917462,80,3-WAY,1984-10-08,52,TULSA,CANTON,5,GATE,MUELL,01005,8821 S CANTON  PL E,36.035191,PL,0
L,,1332,0026,74137,26,32,E,1,41902,5216,1000'E YALE 650'N 91 ST SS,0,NA,,C439,2003-08-11,01005-0026,-95.917563,80,3-WAY,1984-10-04,52,TULSA,89,5,GATE,CLOW,01005,5212 E 89th CT S,36.033592,ST,0
L,,1332,0025,74137,26,32,S,1,41902,8845,1000'E YALE 850'N 91 ST SS,0,NA,,C439,2003-08-11,01005-0025,-95.91739,80,3-WAY,1984-10-09,52,TULSA,CANTON,5,GATE,CLOW,01005,8901 S CANTON  PL E,36.034387,PL,0
L,,1233,0012,74137,40,32,S,1,90399,9905,1000'N 101 & 250'E DELAWARE,11,NA,,C469,1999-08-11,01277-0012,-95.948188,120,3-WAY,,52,TULSA,DELAWARE,5,GATE,DARLI,01277,9905 S DELAWARE  AV E,36.020056,AV,4
L,,1377,0042,74145,32,25,,1,1060,0,1000'N/36ST/1000'W OF MEMORIAL,0,NA,,C496,1999-06-10,00091-0042,-95.889847,100,3-WAY,,52,TULSA,,5,GATE,CLOW,00091,,36.114259,,0
L,,1381,0094,74133,21,28,S,1,11200,7334,1000'N 76 175'W MEMORIAL WS,0,NA,,,1999-05-13,00659-0094,-95.887039,60,3-WAY,,52,TULSA,MEMORIAL,5,GATE,MUELL,00659,7334 S MEMORIAL  DR E,36.056494,DR,0
L,,1377,0043,74145,18,25,,1,1060,0,1000'N OF 36/ 800'W OF MEMORIA,0,NA,,C541,1999-06-10,00091-0043,-95.888985,60,3-WAY,,52,TULSA,,5,GATE,CLOW,00091,,36.114608,,0
L,,1372,0045,74115,20,17,N,1,41702,2202,1000'N VIRGIN 400'W MEMORIAL,9,NA,,C439,2003-08-15,00121-0045,-95.887923,60,3-WAY,,42,TULSA,MEMORIAL,2,GATE,MUELL,00121,2202 N MEMORIAL  DR E,36.186951,DR,0
L,,1229,0044,74105,20,23,S,1,0,5206,1000'S 51 500'W HARVARD ES,0,NA,,C465,1999-06-27,00314-0044,-95.941886,60,3-WAY,,42,TULSA,HARVARD,3,GATE,MUELL,00314,5206 S HARVARD  AV  2,36.086846,AV,0
L,,1229,0041,74105,20,23,S,1,0,5206,1000'S 51 875'W HARVARD SS,0,NA,,C465,1999-06-27,00314-0041,-95.943319,60,3-WAY,,0,TULSA,HARVARD,3,GATE,MUELL,00314,5206 S HARVARD  AV  2,36.086714,AV,0
L,,1179,0005,74105,21,18,S,1,1050,5645,1000'S 56 ST 250'W QUINCY,0,NA,,C494,1999-05-11,00390-0005,-95.973875,60,3-WAY,,42,TULSA,PEORIA,3,GATE,M & H,00390,5645 S PEORIA  AV E,36.079855,EA,0
L,,1431,0054,74133,32,28,E,1,1070,9133,1000'S 71ST & 400'E 92 EA NS,0,NA,,,1999-06-02,00658-0054,-95.872119,100,3-WAY,,52,TULSA,74,5,GATE,MUELL,00658,9133 E 74th ST S,36.058111,ST,0
L,,1576,0050,74134,21,30,E,1,1070,14002,1000'W/145 EA 300'S/21ST NS,0,NA,,C494,1999-05-12,00301-0050,-95.820098,60,3-WAY,,0,TULSA,21,2,GATE,M & H,00301,14002 E 21th ST S,36.132519,ST,0
L,,1576,0051,74134,38,30,E,1,1070,14002,1000'W/145 EA 375'N/24ST SS,0,NA,,C439,1999-05-03,00301-0051,-95.818809,120,3-WAY,,0,TULSA,21,2,GATE,MUELL,00301,14002 E 21th ST S,36.130044,ST,0
L,,1378,0106,74145,28,25,S,1,1050,4970,1000'W MEMORIAL 1000'N 51ST SS,0,NA,,,2003-08-18,00244-0106,-95.889942,80,3-WAY,,52,TULSA,MEMORIAL,5,GATE,KENNE,00244,4970 S MEMORIAL  DR E,36.092083,DR,0
L,,1378,0102,74145,21,25,S,1,1050,4970,1000'W MEMORIAL 600'N 51 ST ES,0,NA,,,2003-08-18,00244-0102,-95.889894,60,3-WAY,,45,TULSA,MEMORIAL,5,GATE,MUELL,00244,4970 S MEMORIAL  DR E,36.091348,DR,0
L,,1483,0005,74133,38,32,E,1,1050,10604,100 & 106 EA SEC,0,NA,,C490,1999-06-07,01272-0005,-95.858717,120,3-WAY,,52,TULSA,100,5,GATE,CLOW,01272,10604 E 100th ST S,36.018661,ST,0
L,,1483,0009,74133,26,32,E,1,1050,10620,100 150'W OF 107 EA SS,0,NA,,,1999-06-07,01272-0009,-95.857582,80,3-WAY,,52,TULSA,100,5,GATE,CLOW,01272,10620 E 100th ST S,36.018702,ST,0
L,,1478,0051,74146,27,20,E,1,11200,10029,10021 E 44 PL (METALFORM INC),0,NA,,C496,1999-04-15,00183-0051,-95.863565,80,3-WAY,1993-08-05,52,TULSA,45,5,GATE,DARLI,00183,10029 E 45th PL S,36.098537,ST,0
L,,1433,0063,74133,27,32,E,1,1070,8915,100 CT 150'E 89 EA NS,0,NA,,C525,1999-06-08,01273-0063,-95.876376,80,3-WAY,,52,TULSA,100,5,GATE,DARLI,01273,8915 E 100th CT S,36.018906,ST,0
L,,1433,0065,74133,15,32,,1,1070,0,100 DR & 89 EP SEC,0,NA,,C525,1999-06-08,01273-0065,-95.876334,40,3-WAY,,52,TULSA,,5,GATE,DARLI,01273,,36.01785,,0
L,,1474,0017,74128,38,31,E,1,42302,10156,100'E/101 EAV-200'N/2 ST,0,NA,,C521,1999-06-21,00175-0017,-95.864581,120,3-WAY,,45,TULSA,ADMIRAL,2,GATE,M & H,00175,10156 E ADMIRAL   BLVD S,36.159181,ST,0
L,,1476,0058,74129,21,27,,1,1060,0,100 EA 100'N/24ST ES,0,NA,,C496,1999-06-19,00179-0058,-95.865003,60,3-WAY,,45,TULSA,,5,GATE,MUELL,00179,,36.12816,,0
L,,1477,0024,74146,26,25,E,1,1060,9903,100 EA 100'SE/38 ST ES,0,NA,,,1999-05-20,00182-0024,-95.866684,80,3-WAY,,42,TULSA,38,5,GATE,MUELL,00182,9903 E 38th ST S,36.108662,ST,0
L,,1476,0044,74129,28,27,,1,1060,0,100 EA 150'S/23ST ES,0,NA,3,C509,1999-06-19,00179-0044,-95.865003,80,3-WAY,,45,TULSA,,5,GATE,MUELL,00179,,36.129115,,0
,,1479,0009,74146,0,20,E,1,0,9920,100 EA 175'N/52 ST ES,0,NA,,DELET,1999-06-28,00309-0009,-95.864914,0,3-WAY,,45,TULSA,54,5,GATE,MUELL,00309,10001 E 52th ST S,36.088548,ST,0
,,1479,0005,74146,0,20,E,1,0,10001,100 EA 175'N/52 ST ES,0,NA,,DELET,1999-06-28,00309-0005,-95.866052,0,3-WAY,,45,TULSA,52,5,GATE,MUELL,00309,9920 E 54th ST S,36.086162,ST,0
L,,1478,0032,74146,27,20,E,1,11200,10002,100 EA 200'N 44 PL ES,0,NA,,C452,1999-04-15,00183-0032,-95.865773,80,3-WAY,,50,TULSA,43,5,GATE,KENNE,00183,10002 E 43th ST S,36.099208,ST,0
L,,1478,0010,74146,32,25,S,1,11200,4110,100 EA 300'S/41ST ES,0,NA,,C496,1999-04-15,00183-0010,-95.866347,100,3-WAY,,42,TULSA,100,5,GATE,MUELL,00183,4110 S 100th AV E,36.103514,EA,0
L,,1479,0010,74146,40,20,E,1,0,10002,100 EA 300'S/52 ST ES,0,NA,,C499,1999-06-28,00309-0010,-95.864911,120,3-WAY,,45,TULSA,52,5,GATE,MUELL,00309,10002 E 52th ST S,36.087428,ST,0
L,,1477,0057,74146,21,25,E,1,1060,10005,100 EA & 41 ST NEC,0,NA,,C506,1999-05-20,00182-0057,-95.866136,60,3-WAY,,42,TULSA,41,5,GATE,MUELL,00182,10005 E 41th ST S,36.104707,ST,0
L,,1476,0066,74129,21,27,S,1,11100,2819,100 EA 50'E 28PL ES,0,NA,,C495,1999-05-03,00180-0066,-95.86572,60,3-WAY,,42,TULSA,100,5,GATE,MUELL,00180,2819 S 100th AV E,36.120968,EA,0
L,,1477,0048,74146,26,25,S,1,1060,3915,100 EA 50'N/39 PL ES,0,NA,,C545,1999-05-20,00182-0048,-95.865841,80,3-WAY,,42,TULSA,100,5,GATE,MUELL,00182,3915 S 100th AV E,36.106616,EA,0
L,,1477,0036,74146,25,25,E,1,1060,10005,100 EA 50'N/39 ST ES,0,NA,,,1999-05-20,00182-0036,-95.865841,80,3-WAY,,45,TULSA,39,5,GATE,MUELL,00182,10005 E 39th ST S,36.1074,ST,0
L,,1477,0056,74146,19,25,,1,1060,0,100 EA 50'N/40 ST ES,0,NA,,,1999-05-20,00182-0056,-95.865968,60,3-WAY,,45,TULSA,,5,GATE,MUELL,00182,,36.105764,,0
L,,1479,0008,74146,21,20,,1,0,0,100 EA & 51 ST SEC,0,NA,,C477,1999-06-28,00309-0008,-95.864956,60,3-WAY,1988-09-27,50,TULSA,,5,GATE,WATER,00309,,36.089809,,0
L,,1482,0025,74133,7,20,E,1,41902,10008,100 E AV & 83 PL S,0,NA,,DELET,1999-06-21,00879-0025,-95.865701,20,,1995-10-10,52,TULSA,83,5,AIR RELIE,MUELL,00879,10002 E 83th PL S,36.042251,ST,0
L,,1232,0028,74137,19,29,S,1,1060,9015,100'E DELAWARE 200'N 91 ST NS,0,NA,,,1999-04-05,01007-0028,-95.94856,60,3-WAY,,52,TULSA,DELAWARE,3,GATE,MUELL,01007,9027 S DELAWARE  AV E  8  804,36.032722,EA,0
,,1372,0034,74115,0,17,N,1,41702,2203,100'E GILCRSE EXP & 77 EA ES,9,NA,1,DELET,2003-08-15,00121-0034,-95.890995,0,3-WAY,,50,TULSA,77,2,,KENNE,00121,2203 N 77th AV E,36.186129,EA,0
L,,1129,0032,74105,19,18,S,1,0,5628,100'E MADISON 200'N 57 PL ES,0,NA,,,2003-08-22,00391-0032,-95.978768,60,3-WAY,,40,TULSA,NEWPORT,3,GATE,DARLI,00391,5629 S NEWPORT  AV E,36.080117,AV,0
L,,1431,0035,74133,27,28,,1,41902,0,100'E MEMRL 300'S 76 ES,0,NA,,C525,1999-04-28,00765-0035,-95.88604,80,3-WAY,,52,TULSA,,5,GATE,KENNE,00765,,36.052853,,0
L,,1277,0054,74135,21,21,E,1,1100,4134,100'E/N.HAVEN 50'S/33 ST,0,NA,,C487,1999-05-27,00093-0054,-95.93006,60,3-WAY,,52,TULSA,31,2,GATE,CLOW,00093,4134 E 31th ST S,36.115451,ST,0
L,,1330,0041,74136,20,28,S,1,41802,6666,100'E OF OXFORD/450'S OF 66,0,NA,,,1999-04-19,00561-0041,-95.90578,60,3-WAY,,52,TULSA,SHERIDAN,5,GATE,DARLI,00561,6666 S SHERIDAN  AV E,36.067777,RD,0
L,,1378,0044,74145,21,25,S,1,1050,4815,100'E SHERIDAN 350'S 48 ST ES,0,NA,,,1999-04-06,00244-0044,-95.903298,60,3-WAY,,42,TULSA,SHERIDAN,5,GATE,M & H,00244,4815 S SHERIDAN  RD E,36.093051,RD,0
L,,1331,0005,74136,38,32,,1,1070,0,100'E YALE 1000'N 81 ST SS,0,NA,,C509,1999-05-03,00767-0005,-95.921863,120,3-WAY,,52,TULSA,,5,GATE,MUELL,00767,,36.048825,,0
L,,1331,0001,74136,31,28,S,1,1070,7601,100'E YALE 300'S 76 ST SS,0,NA,,C509,1999-05-03,00767-0001,-95.921471,120,3-WAY,,52,TULSA,YALE,5,GATE,MUELL,00767,7601 S YALE  AV E,36.052773,EA,0
L,,1525,0013,74128,42,30,E,1,5318,11620,100'N/12TH ST/450'W 119 E AVE,0,NA,,C523,1996-06-26,00234-0013,-95.846659,120,3-WAY,,45,TULSA,SKELLY,2,GATE,MUELL,00234,11620 E SKELLY  DR S,36.147051,ST,0
L,,1277,0030,74135,20,21,E,1,1100,4134,100'N 33ST 200'W OF TOLEDO NS,7,NA,1,C469,1999-05-27,00093-0030,-95.927504,60,3-WAY,,52,TULSA,31,2,GATE,MUELL,00093,4134 E 31th ST S,36.115424,ST,0
L,,1278,0027,74135,42,23,E,1,1060,4121,100'N 51ST 2550'W YALE AV ES,0,NA,,C487,1999-05-05,00246-0027,-95.930908,120,3-WAY,,40,TULSA,51,3,GATE,M & H,00246,4121 E 51th ST S,36.090035,ST,0
L,,1329,0032,74135,20,28,E,1,41702,6193,100'N 61 800'W SHERIDAN ES,0,NA,,C452,1999-04-13,00387-0032,-95.906639,60,3-WAY,,40,TULSA,61,5,GATE,M & H,00387,6193 E 61th ST S,36.075657,ST,0
L,,1430,0055,74133,28,20,S,1,11100,6504,100'N 66 ST 350'W 96 E AVE,6,NA,,C525,1999-05-02,00468-0055,-95.874184,80,3-WAY,,52,TULSA,93,5,GATE,MUELL,00468,6504 S 93th AV E,36.068748,EA,5
L,,1181,0061,74136,40,29,S,1,11200,7130,100'N 73 ST 550'W LEWIS N SIDE,0,NA,,,2003-08-15,00663-0061,-95.960468,120,3-WAY,,52,TULSA,LEWIS,3,GATE,MUELL,00663,7130 S LEWIS  AV E,36.058488,AV,0
L,,1332,0014,74137,20,32,S,1,41902,8130,100'N 83 ST 150'E LAKEWOOD PL,0,NA,,C525,2003-08-04,00882-0014,-95.904946,60,3-WAY,,52,TULSA,LAKEWOOD,5,GATE,MUELL,00882,8130 S LAKEWOOD  PL E,36.044245,EA,0
L,,1082,0001,74132,7,6,,1,11000,0,100'N 86ST & UNION NEC,0,NA,1,KENNE,2003-08-22,00887-0001,-96.011518,20,3-WAY,1985-08-29,52,TULSA,,3,AIR RELIE,KENNE,00887,,36.039278,,0
L,,925,0001,74107,18,0,,1,92999,0,100'N FRISCO RR & 600'W 49 WA,11,NA,,,1999-09-14,00067-0001,-96.049533,60,3-WAY,,52,,,0,GATE,MUELL,00067,,36.13541,,6
L,,1576,0030,74134,20,27,S,1,41702,2751,100'N OF 28 ST & 134 E AV NEC,0,NA,,C513,2003-08-03,00302-0030,-95.827192,60,3-WAY,,0,TULSA,134,5,GATE,MUELL,00302,2751 S 134th AV E,36.123823,EA,0
L,,1322,0017,74115,8,17,,1,41702,0,100'N VIRGIN & FULTON ES,0,NA,,C496,2003-08-09,00120-0017,-95.91481,20,3-WAY,,52,TULSA,,2,AIR RELIE,KENNE,00120,,36.185253,,0
,,1322,0014,74115,0,17,,1,41702,0,100'N WOODROW & DARLNTN ES,0,NA,,DELET,2003-08-09,00120-0014,-95.917116,0,3-WAY,,45,TULSA,,2,,MUELL,00120,,36.185849,,0
L,,1383,0028,74133,21,32,E,1,42202,7122,100 PL & 100'W 72 EA SWC,0,NA,,C525,2003-08-14,01274-0028,-95.896099,60,3-WAY,,52,TULSA,100,5,GATE,MUELL,01274,7122 E 100th PL S,36.017808,ST,0
L,,1483,0006,74133,27,32,E,1,1050,10604,100 PL & 106 EA SEC,0,NA,,,1999-06-07,01272-0006,-95.858675,80,3-WAY,,52,TULSA,100,5,GATE,CLOW,01272,10604 E 100th PL S,36.017707,ST,0
L,,1383,0021,74133,7,32,E,1,42202,7014,100 PL & 200'E OF 70 E AVE SS,0,NA,,C525,2003-08-14,01274-0021,-95.897937,20,3-WAY,,52,TULSA,100,5,AIR RELIE,MUELL,01274,7014 E 100th PL S,36.017878,PL,0
L,,1433,0049,74133,26,32,E,1,1070,8961,100 PL 500'W 91 EA ES,0,NA,,C509,1999-06-08,01273-0049,-95.875997,80,3-WAY,1992-03-25,52,TULSA,100,5,GATE,DARLI,01273,8961 E 100th PL S,36.019725,ST,0
L,,1383,0009,74133,21,32,E,1,42202,6714,100 PL & 67 E PL  SES,0,NA,,C525,2003-08-14,01274-0009,-95.901211,60,3-WAY,,52,TULSA,100,5,GATE,MUELL,01274,6708 E 100th PL S,36.01778,PL,0
L,,1433,0059,74133,27,32,E,1,1070,8902,100 PL 800'W 91 EA SS,0,NA,,C525,1999-06-14,01273-0059,-95.877388,80,3-WAY,1992-03-26,52,TULSA,100,5,GATE,DARLI,01273,8902 E 100th PL S,36.019418,ST,0
L,,1433,0067,74133,0,32,E,1,1070,8606,100 PL & 86 EA SEC,0,NA,,DELET,1999-06-08,01273-0067,-95.880886,0,3-WAY,,52,TULSA,100,5,GATE,DARLI,01273,8606 E 100th PL S,36.017816,ST,0
L,,1433,0007,74133,20,32,,1,1070,0,100 PL & 91 EA SEC,0,NA,,C477,1999-06-08,01273-0007,-95.874521,60,3-WAY,1984-10-03,52,TULSA,,5,GATE,MUELL,01273,,36.019077,,0
L,,1333,0018,74137,39,32,E,1,11000,5205,100 PL & CANTON NEC,0,NA,,C451,1999-06-28,01275-0018,-95.918721,120,3-WAY,,50,TULSA,100,5,GATE,KENNE,01275,5205 E 100th PL S,36.018238,ST,0
L,,1333,0035,74137,21,32,S,1,11000,10001,100PL & IRVINGTON SEC,0,NA,,C451,1999-06-28,01275-0035,-95.912032,60,3-WAY,,45,TULSA,IRVINGTON,5,GATE,MUELL,01275,10001 S IRVINGTON  AV E,36.018175,EA,0
L,,1283,0006,74137,32,32,S,1,0,10003,100 PL & JAMESTOWN SEC,0,NA,,,1996-05-19,01276-0006,-95.937528,120,3-WAY,,50,TULSA,JAMESTOWN,5,GATE,KENNE,01276,10003 S JAMESTOWN  AV E,36.018041,AV,0
L,,1333,0041,74137,21,32,E,1,11000,5910,100 PL & JOPLIN SEC,0,NA,,C451,1999-06-28,01275-0041,-95.910271,60,3-WAY,,45,TULSA,100,5,GATE,MUELL,01275,5910 E 100th PL S,36.017795,ST,0
L,,1333,0057,74137,32,32,S,1,11000,10007,100 PL & MAPLEWOOD PL SEC,0,NA,,C451,1999-06-25,01275-0057,-95.906829,80,3-WAY,,52,TULSA,MAPLEWOOD,5,GATE,KENNE,01275,10007 S MAPLEWOOD  PL E,36.018365,EA,0
L,,1627,0044,74134,27,27,S,1,41702,3121,100'S/31 500'E/145 EA ES,0,NA,,,2003-07-23,00376-0044,-95.813373,80,3-WAY,,52,TULSA,145,5,GATE,WATER,00376,3121 S 145th AV E,36.118422,EA,0
L,,1127,0008,74105,24,5,E,1,1070,131,100'S 31 PL 300'W RIVERSIDE DR,0,NA,3,C487,1999-05-11,00096-0008,-95.983826,60,3-WAY,,52,TULSA,31,1,GATE,MUELL,00096,131 E 31th PL S,36.117688,PL,0
L,,1230,0008,74136,21,29,S,1,11000,6627,100'S 66 ST 450'E LEWIS ES,0,NA,,C541,2003-08-11,00563-0008,-95.955487,60,3-WAY,1985-10-25,52,TULSA,LEWIS,3,GATE,MUELL,00563,6623 S LEWIS  AV E,36.067201,EA,0
L,,1381,0086,74133,38,28,,1,11200,0,100'S 71 800'W MEMRL ES,0,NA,,,1999-07-15,00659-0086,-95.889231,120,3-WAY,,52,TULSA,,5,GATE,MUELL,00659,,36.05779,,0
L,,1331,0009,74136,26,28,S,1,1070,7721,100'S 77 ST 200'E YALE NS,0,NA,,C509,1999-05-03,00767-0009,-95.920915,80,3-WAY,,52,TULSA,YALE,5,GATE,KENNE,00767,7701 S YALE  AV E  6  613,36.051261,EA,0
L,,1281,0050,74136,21,29,,1,1050,0,100'S 78 & HARVARD ES,0,NA,,,2003-08-07,00769-0050,-95.940655,60,3-WAY,,42,TULSA,,3,GATE,MUELL,00769,,36.051052,,0
L,,1432,0015,74133,21,32,S,1,1100,8609,100'S 86ST & 88 E AVE ES,0,NA,,C525,1999-04-11,01003-0015,-95.878297,60,3-WAY,,52,TULSA,88,5,GATE,MUELL,01003,8609 S 88th AV E,36.03834,EA,0
L,,1473,0004,74116,38,31,,1,42302,0,100'S ARCHER 450'W 169 HWY,0,NA,,C521,1999-06-21,00175-0004,-95.861838,120,3-WAY,,45,TULSA,,2,GATE,MUELL,00175,,36.161806,,0
L,,1473,0005,74116,21,31,E,1,42302,10131,100'S ARCHER 575'W 169 HWY,0,NA,,C494,1999-06-21,00175-0005,-95.862007,60,3-WAY,,45,TULSA,ADMIRAL,2,GATE,MUELL,00175,10131 E ADMIRAL   PL N,36.161056,N,0
L,,1473,0003,74116,21,31,E,1,42302,10131,100'S ARCHER 575'W 169 HWY,0,NA,,C494,1999-06-21,00175-0003,-95.862643,60,3-WAY,,45,TULSA,ADMIRAL,2,GATE,MUELL,00175,10131 E ADMIRAL   PL N,36.161498,N,0
L,,1576,0045,74134,22,27,S,1,41702,2703,100'S OF 27 ST & 137 E AV SEC,0,NA,,C439,2003-08-03,00302-0045,-95.823476,60,3-WAY,,45,TULSA,137,5,GATE,MUELL,00302,2703 S 137th AV E,36.125562,EA,0
L,,1330,0043,74136,42,28,,1,41802,0,100'S OF 66/500'W OF SHERIDAN,0,NA,,,1999-04-19,00561-0043,-95.90578,120,3-WAY,,52,TULSA,,5,GATE,CLOW,00561,,36.068739,,0
L,,1483,0034,74133,37,32,S,1,1050,10005,100 ST & 100 E PL SEC,0,NA,,C496,1999-06-07,01272-0034,-95.864661,120,3-WAY,1994-08-19,52,TULSA,100,5,GATE,DARLI,01272,10005 S 100th PL E,36.018593,EA,0
L,,1433,0052,74133,27,32,E,1,1070,8915,100 ST 100'S 89 EA ES,0,NA,,C525,1999-06-08,01273-0052,-95.875828,80,3-WAY,1992-02-21,52,TULSA,100,5,GATE,DARLI,01273,8915 E 100th ST S,36.02102,ST,0
L,,1283,0031,74137,28,32,E,1,0,4320,100 ST 100'W SANDUSKY SS,0,NA,,,1996-05-22,01276-0031,-95.928093,80,3-WAY,,45,TULSA,100,5,GATE,MUELL,01276,4320 E 100th ST S,36.017935,ST,0
L,,1483,0015,74133,41,32,E,1,1050,10716,100 ST & 108 E AVE SWC,0,NA,,,1999-06-07,01272-0015,-95.856103,120,3-WAY,,52,TULSA,100,5,GATE,CLOW,01272,10716 E 100th ST S,36.018722,ST,0
L,,1333,0065,74137,0,32,E,1,11000,6312,100 ST 1500'W SHERIDAN SS,0,NA,,C451,1999-06-25,01275-0065,-95.904534,0,3-WAY,,45,TULSA,100,5,GATE,MUELL,01275,6312 E 100th ST S,36.01931,ST,0
L,,1433,0006,74133,13,32,E,1,1070,9336,100 ST 200'E 93 EA SS,0,NA,,C525,1999-05-24,01273-0006,-95.871187,40,3-WAY,1984-09-19,52,TULSA,100,5,AIR RELIE,MUELL,01273,9330 E 100th ST S,36.019703,ST,0
L,,1283,0024,74137,40,32,E,1,0,4214,100 ST 250'W RICHMOND A SS,0,NA,,,1996-05-14,01276-0024,-95.929585,120,3-WAY,,45,TULSA,100,5,GATE,MUELL,01276,4214 E 100th ST S,36.017899,ST,0
L,,1433,0050,74133,26,32,,1,1070,0,100 ST 300'W 92 EA ES,0,NA,,C477,1999-06-08,01273-0050,-95.874901,80,3-WAY,1992-02-24,52,TULSA,,5,GATE,DARLI,01273,,36.020236,,0
L,,1333,0056,74137,24,32,E,1,11000,6226,100 ST 300'W NORWOOD SS,0,NA,,C451,1999-06-25,01275-0056,-95.906203,80,3-WAY,,52,TULSA,100,5,GATE,CLOW,01275,6226 E 100th ST S,36.019282,ST,0
L,,1383,0020,74133,21,32,,1,42202,0,100 ST & 70 EA  SEC,0,NA,,C525,2003-08-14,01274-0020,-95.898446,60,3-WAY,,52,TULSA,,5,GATE,MUELL,01274,,36.018526,,0
L,,1383,0027,74133,7,32,,1,42202,0,100 ST & 71 E AVE ES,0,NA,,C525,2003-08-14,01274-0027,-95.896846,20,3-WAY,,52,TULSA,,5,AIR RELIE,MUELL,01274,,36.018781,,0
L,,1433,0068,74133,22,32,,1,1070,0,100 ST & 86 EA SEC,0,NA,,DELET,1999-06-08,01273-0068,-95.880928,60,3-WAY,,52,TULSA,,5,GATE,DARLI,01273,,36.018634,,0
L,,1433,0005,74133,39,32,,1,0,0,100 ST & 91 EA SS,0,NA,,C525,1999-06-08,01273-0005,-95.874058,120,3-WAY,1984-09-17,52,TULSA,,5,GATE,MUELL,01273,,36.019759,,0
L,,1433,0008,74133,48,32,S,1,1070,10001,100 ST & 93 EA SEC,0,NA,,C490,1999-05-24,01273-0008,-95.872245,240,3-WAY,1984-09-13,52,TULSA,93,5,BALL,MUELL,01273,10001 S 93th AV E,36.019213,EA,0
L,,1433,0022,74133,21,32,S,1,1070,10005,100 ST & 94 EA SEC,0,NA,,C477,1999-05-24,01273-0022,-95.869716,60,3-WAY,1990-07-13,52,TULSA,94,5,GATE,CLOW,01273,10005 S 94th AV E,36.018906,EA,0
L,,1283,0004,74137,32,32,E,1,0,3505,100 ST & JAMESTOWN NEC,0,NA,,,1996-05-19,01276-0004,-95.937616,120,3-WAY,,50,TULSA,100,5,GATE,KENNE,01276,3505 E 100th ST S,36.018822,ST,0
L,,1333,0040,74137,22,32,E,1,11000,5928,100 ST & KINGSTON SWC,0,NA,,C451,1999-06-28,01275-0040,-95.909804,60,3-WAY,,45,TULSA,100,5,GATE,MUELL,01275,5928 E 100th ST S,36.019178,ST,0
L,,1333,0052,74137,38,32,E,1,11000,6202,100 ST & MAPLEWOOD SWC,0,NA,,C499,1999-06-25,01275-0052,-95.907455,120,3-WAY,,45,TULSA,100,5,GATE,MUELL,01275,6202 E 100th ST S,36.019282,ST,0
L,,1427,0036,74145,21,27,S,1,11200,3218,100'W 93 EA 129'N 32 PL,0,NA,,C528,1999-04-27,00132-0036,-95.870812,60,3-WAY,,52,TULSA,,5,GATE,M & H,00132,3218 S 93th AV E,36.116339,AV,0
L,,1478,0028,74146,22,27,S,1,11200,4414,100'W/GARNETT 500'N/45ST SS,0,NA,,C496,1999-04-09,00183-0028,-95.851594,60,3-WAY,,52,TULSA,GARNETT,5,GATE,MUELL,00183,4414 S GARNETT   RD E,36.100071,RD,0
L,,1470,0002,74116,27,31,,1,41702,0,100'W HWY 169 & 350'N 41 ST,0,NA,,C439,2003-08-13,00359-0002,-95.852343,120,3-WAY,,52,TULSA,,2,GATE,CLOW,00359,,36.213996,,0
L,,1380,0075,74133,21,28,,1,1070,0,100'W MEMORIAL 500'S 63 PL NS,0,NA,,,1999-04-09,00469-0075,-95.886537,60,3-WAY,,52,TULSA,,5,GATE,MUELL,00469,,36.069888,,0
L,,1470,0001,74116,7,31,,1,41702,0,100'W US 169 1000'N 41 ST N,0,NA,,C439,2003-08-13,00359-0001,-95.85247,20,3-WAY,,52,TULSA,,2,AIR RELIE,CLOW,00359,,36.217439,,0
L,,1483,0010,74133,26,32,E,1,1050,10707,101 400'E OF 106 EA NS,0,NA,,,1999-06-07,01272-0010,-95.857219,60,3-WAY,,52,TULSA,101,5,GATE,MUELL,01272,10707 E 101th ST S,36.017506,ST,0
L,,1476,0036,74129,20,27,E,1,11100,10102,101 EA 100'S 26ST ES,0,NA,,C495,1999-05-03,00180-0036,-95.86437,60,3-WAY,,52,TULSA,26,5,GATE,MUELL,00180,10102 E 26th ST S,36.12407,ST,0
